dim,n_forms,mean_rho,rho_std,top1_eigenvalue,rank_d_concentration,spectral_entropy,stratification
43,112,0.35177245557232095,0.14881631321966188,4.336068248257494,1.0,1.8654180873987127,primes_10
44,102,0.3960030088007714,0.14727235182067194,4.708318698257141,1.0,1.7829690257257738,primes_10
45,92,0.3387841648586932,0.16550655891691732,4.264153489647619,1.0,1.8658420497347161,primes_10
46,75,0.3772299821354701,0.14134974556730276,4.517053677518916,1.0,1.816827823917719,primes_10
47,61,0.39145216789368875,0.1751299604760667,4.712221111171234,1.0,1.7526390020398164,primes_10
48,83,0.3918908820227936,0.13583061712144975,4.625883978271684,1.0,1.7982285500623787,primes_10
49,58,0.2997046392106414,0.18537039238296835,4.037984708171666,1.0,1.9123003453126621,primes_10
50,74,0.31086862137473137,0.20483021876091834,4.180191640097052,1.0,1.8644194883726972,primes_10
51,72,0.40887601986138944,0.1891363097933445,4.9626559681737294,1.0,1.723153916247115,primes_10
52,67,0.42927301107439714,0.12599251530627273,4.9474234098752685,1.0,1.7398738839824308,primes_10
53,65,0.3637140582271582,0.18437236973571627,4.502802127231131,1.0,1.7942097221113598,primes_10
54,63,0.3791389362864775,0.1550049274970857,4.561913523829789,1.0,1.8015192011606342,primes_10
55,63,0.42234948782629095,0.16358008877097943,4.9873509761732695,1.0,1.7243427257736537,primes_10
56,65,0.3521203423717125,0.15272421910299241,4.356473854558521,1.0,1.8622204513636111,primes_10
57,60,0.3991849474987971,0.13574280917746348,4.650879723773974,1.0,1.7749828117761104,primes_10
58,53,0.3763774191137884,0.15379907535611267,4.54207393232837,1.0,1.8046948495547432,primes_10
60,65,0.40826067075081024,0.16104596945322988,4.8517781590228415,1.0,1.7500469457752033,primes_10
61,50,0.3917692544771802,0.14225474550727318,4.6465103993558845,1.0,1.7923353727617726,primes_10
62,55,0.3985663482891598,0.19312888058258848,4.845781261042728,1.0,1.7212198219936683,primes_10
63,52,0.3679730068975482,0.17460110558338807,4.5583389702381165,1.0,1.8081721281031786,primes_10
65,59,0.4569234100504315,0.14923238193875496,5.252711219593848,1.0,1.6625690506005883,primes_10
1,17198,0.001241486475901672,0.025471032075333043,1.414008855828429,0.056560354233137156,3.211422512002377,primes_25
2,8026,0.01244684441857893,0.03814482396810299,1.4411756194937657,0.11366109486931514,3.199786062477145,primes_25
3,4305,0.011586322636822178,0.043776242578165765,1.5078826795880345,0.17181250736510567,3.194425239183211,primes_25
4,3133,0.014785596501860123,0.04163255950802152,1.5259647475300853,0.21838482535365758,3.1957179417347343,primes_25
5,2093,0.01839943601236672,0.04982204655914708,1.6543697934405677,0.28119001037025665,3.1858352573069273,primes_25
6,1812,0.013971981767561559,0.049992094108549844,1.555476050850212,0.3258481427886645,3.1867660841132355,primes_25
7,1201,0.014905505178363594,0.050827576617485264,1.5768913867546914,0.37414302064239713,3.185473789585228,primes_25
8,1291,0.016001808146975396,0.053683156258608596,1.6872504312354177,0.42430198901169164,3.1820387821078255,primes_25
9,923,0.01533189814882703,0.05526827690104917,1.6377543920420732,0.47215699809570133,3.1800792479897413,primes_25
10,892,0.01205336134176983,0.062162321389552674,1.6762974057994038,0.5241094703806585,3.171255634117067,primes_25
11,683,0.022243189347613004,0.06316493491088458,1.6712940976193713,0.5756025649219777,3.1666397795308567,primes_25
12,732,0.010653306068276736,0.06252552820794763,1.7029484307036349,0.6062740680974702,3.171251378805658,primes_25
13,575,0.008289898524321009,0.0746499253768062,1.8869566067214862,0.6650593613737384,3.1540889604644518,primes_25
14,597,0.012678035443835804,0.0606814320870668,1.6801247726396566,0.6835357866330376,3.1733677225321504,primes_25
15,512,0.0047937503324245205,0.06625996420948851,1.711707081313218,0.7235567669255808,3.1665703518014716,primes_25
16,529,0.00899261668985655,0.06255177924067325,1.687730435532841,0.7532265968652809,3.1712965620378597,primes_25
17,421,0.009014214713576963,0.07650452125998805,1.9120549489039,0.8071178348152093,3.1496233699557754,primes_25
18,475,0.000880432247457487,0.06846697031740756,1.7197136055179576,0.8264386065164587,3.1633241762659408,primes_25
19,350,0.011530228047754523,0.07932265666187575,1.8400587586599733,0.8672748198327564,3.1438385680087544,primes_25
20,386,0.0024812311273114595,0.07506411823984654,1.8054062892804317,0.8941040209741464,3.1514621911294776,primes_25
21,306,0.31848027678070945,0.16166548075646672,8.87497131451148,0.9730809127260496,2.4450539401237132,primes_25
22,347,0.3287286940167819,0.15383554424196355,9.080366415223512,0.9806271705030772,2.439716363354178,primes_25
23,289,0.34117398772397756,0.16018399513181675,9.45278413354982,0.9881452499737273,2.393705201164687,primes_25
24,337,0.3166090207858716,0.15441342778665104,8.76042239469361,0.9938908755281467,2.467676021919119,primes_25
25,245,0.3336803447507162,0.16144356582923766,9.240719375919017,1.0,2.4043174890773233,primes_25
26,262,0.3329355735199634,0.16164391372743658,9.15154831477011,1.0,2.39919302126449,primes_25
27,218,0.33571992604780027,0.1743049290746779,9.38805664260455,1.0,2.3675713915151473,primes_25
28,213,0.3621925120554697,0.15963696554028936,9.94700240399824,1.0,2.3321788659770015,primes_25
29,177,0.3635009443064635,0.1740028302546267,9.992786313225118,1.0,2.2778842804278048,primes_25
30,209,0.3339834511902097,0.1676976268038554,9.256954531942927,1.0,2.3773692563456446,primes_25
31,132,0.37700096255667515,0.17110214413873315,10.383258575657326,1.0,2.2637407982151068,primes_25
32,173,0.36240874897706304,0.16943445449695183,10.000985060846762,1.0,2.313059039924452,primes_25
33,167,0.38155143842959516,0.15572054008884645,10.403871298396027,1.0,2.2863852421481474,primes_25
34,144,0.37866120930099534,0.17689206128069324,10.41858526971879,1.0,2.2345180675036707,primes_25
35,131,0.37948604922442625,0.16683329776155487,10.35942055672243,1.0,2.267931875535406,primes_25
36,133,0.3784693828072478,0.16644401947780516,10.345133152704957,1.0,2.265570833107244,primes_25
37,128,0.42163433516733995,0.1736886532939196,11.450036398933392,1.0,2.1272875841148395,primes_25
38,118,0.3999234947967161,0.19452022885169812,11.17219140895342,1.0,2.1617400871494294,primes_25
39,101,0.4335203550019378,0.19401200308542596,11.939281224134088,1.0,2.0612577348732817,primes_25
40,106,0.4056601804786924,0.19467139791624338,11.206867788977668,1.0,2.1128809027753603,primes_25
41,101,0.4038288098862112,0.2017996678767249,11.111533131131846,1.0,2.0824290268044168,primes_25
42,101,0.39896139284656085,0.18372121625327306,10.897639878111292,1.0,2.1402389651984195,primes_25
