label,dim,level,analytic_conductor,mean_corr,rank_ratio,top1_frac,spectral_entropy,cond_number
113.2.a.a,1,113,0.9023095428404684,-0.005999445882883009,0.9999999999999996,0.9999999999999996,4.440892098500625e-16,inf
113.2.a.b,2,113,0.9023095428404684,-0.012375943077668395,0.9999999999999998,0.9999999999999997,3.330669073875469e-16,inf
113.2.a.c,3,113,0.9023095428404684,-0.01141591264297143,0.9999999999999999,0.9999999999999996,4.440892098500625e-16,inf
113.2.a.d,3,113,0.9023095428404684,-0.002450644356187878,1.0,0.9999999999999997,3.330669073875469e-16,inf
114.2.a.a,1,114,0.9102945830425964,-0.005706845747572545,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,inf
114.2.a.b,1,114,0.9102945830425964,-0.0037921666520954996,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
114.2.a.c,1,114,0.9102945830425964,-0.008344599770246219,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,inf
115.2.a.a,1,115,0.9182796232447245,0.00024494416965062697,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,inf
115.2.a.b,2,115,0.9182796232447245,-0.0032004824415949678,1.0,0.9999999999999998,2.220446049250313e-16,inf
115.2.a.c,4,115,0.9182796232447245,-0.003593166237966972,1.0,0.9999999999999998,2.220446049250313e-16,inf
116.2.a.a,1,116,0.9262646634468524,0.03936614606762569,0.9999999999999999,0.9999999999999999,1.1102230246251564e-16,inf
116.2.a.b,1,116,0.9262646634468524,-0.012786874863010682,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
116.2.a.c,1,116,0.9262646634468524,-0.003801327068384934,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
117.2.a.a,1,117,0.9342497036489804,-0.003098686098483372,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
117.2.a.b,2,117,0.9342497036489804,-0.003203471551776904,0.9999999999999999,0.9999999999999998,2.220446049250313e-16,inf
117.2.a.c,2,117,0.9342497036489804,-0.005721515665702014,0.9999999999999999,0.9999999999999998,2.220446049250313e-16,inf
118.2.a.a,1,118,0.9422347438511084,-0.00331315042732069,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
118.2.a.b,1,118,0.9422347438511084,-0.010039526939353937,0.9999999999999996,0.9999999999999996,4.440892098500625e-16,inf
118.2.a.c,1,118,0.9422347438511084,0.009680319096568158,0.9999999999999996,0.9999999999999996,4.440892098500625e-16,inf
118.2.a.d,1,118,0.9422347438511084,0.017396546678216947,0.9999999999999996,0.9999999999999996,4.440892098500625e-16,inf
119.2.a.a,4,119,0.9502197840532366,-0.0029583907331617153,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,inf
119.2.a.b,5,119,0.9502197840532366,0.0011899016732295114,0.9999999999999998,0.9999999999999994,5.551115123125782e-16,inf
120.2.a.a,1,120,0.9582048242553646,-0.00732085215734157,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,inf
120.2.a.b,1,120,0.9582048242553646,-0.0060925227523834025,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,inf
121.2.a.a,1,121,0.9661898644574928,-0.0013628876958753284,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
121.2.a.c,1,121,0.9661898644574928,-0.0014159425198113518,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
121.2.a.d,1,121,0.9661898644574928,-0.005179314960467637,0.9999999999999996,0.9999999999999996,4.440892098500625e-16,inf
122.2.a.a,1,122,0.9741749046596206,-0.010603127981075273,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,inf
122.2.a.b,2,122,0.9741749046596206,-0.006389604656902827,0.9999999999999998,0.9999999999999997,3.330669073875469e-16,inf
122.2.a.c,3,122,0.9741749046596206,0.0053634415877165005,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
123.2.a.a,1,123,0.9821599448617488,-0.005965531372677859,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
123.2.a.b,1,123,0.9821599448617488,-0.009415665006824715,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
123.2.a.c,2,123,0.9821599448617488,-0.0009769833643760105,0.9999999999999998,0.9999999999999997,3.330669073875469e-16,inf
